id,project_code,pq_number,po_so_number,asn_dn_number,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,pq_first_sent_to_client_date,po_sent_to_vendor_date,scheduled_delivery_date,delivered_to_client_date,delivery_recorded_date,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,line_item_insurance_usd,planned_lead_time_days,actual_lead_time_days,is_on_time,freight_pct_of_value,freight_cost_per_kg
5859,102-HA-T53,PQ-98179,SO-50206,ASN-64147,Haiti,PMO - US,From RDC,CIP,Ocean,3/4/2015,3/21/2015,6/7/2015,5/25/2015,5/26/2015,HRDT,HIV test,Aurobindo Pharma Limited,HRDT product - HIV test formulation,Molecule 7,Generic,60mg,Capsule,1,10000,92125,18.425,9.2125,"ABC Farmaceutica, Brazil",Yes,25.68,15177.94,315.17,78,65,t,16.48,591.04
3645,102-KE-T83,PQ-25556,SO-94811,ASN-34116,Kenya,South Africa Field Office,Direct Drop,FOB,Air,1/20/2016,1/31/2016,3/25/2016,3/14/2016,3/15/2016,ARV,Pediatric,Scms Global,ARV product - Pediatric formulation,Molecule 4,Generic,60mg,Capsule,1,500,20727.65,663.2848,41.4553,"Mylan H-12, India",No,7.83,2991,98.42,54,43,t,14.43,381.99
1890,102-SO-T22,PQ-96179,SO-14712,ASN-63413,South Africa,Haiti Field Office,From RDC,EXW,Ocean,11/6/2015,11/24/2015,12/16/2015,1/6/2016,1/10/2016,ARV,Adult,Zenith Pharmaceuticals,ARV product - Adult formulation,Molecule 9,Branded,150mg,Oral Solution,30,25000,942765,980.4756,37.7106,"Aurobindo Unit III, India",No,413.46,151584.28,6909.64,22,43,f,16.08,366.62
1230,102-UG-T85,PQ-80565,SO-68802,ASN-99306,Uganda,Haiti Field Office,Direct Drop,FOB,Air Charter,12/3/2014,12/15/2014,3/13/2015,3/13/2015,3/14/2015,HRDT,HIV test,Scms From Rdc,HRDT product - HIV test formulation,Molecule 24,Branded,90mg,Oral Solution,60,1000,3853.6,7.7072,3.8536,"Ranbaxy, Paonta Sahib, India",Yes,2.32,417.8,20.08,88,88,t,10.84,180.09
3248,102-ZA-T92,PQ-58899,SO-38730,,Zambia,Haiti Field Office,From RDC,EXW,Ocean,12/27/2013,1/4/2014,3/18/2014,3/13/2014,3/13/2014,HRDT,HIV test,Ranbaxy Fine Chemicals,HRDT product - HIV test formulation,Molecule 34,Generic,150mg,Tablet,30,10000,302877,878.3433,30.2877,"Aurobindo Unit III, India",No,54.36,49185.64,2158.71,73,68,t,16.24,904.81
3882,103-GU-T58,PQ-34728,SO-13668,ASN-48935,Guyana,PMO - US,From RDC,CIP,Air,7/20/2014,7/26/2014,10/13/2014,10/22/2014,10/22/2014,MRDT,Malaria test,Zenith Pharmaceuticals,MRDT product - Malaria test formulation,Molecule 7,Generic,150mg,Capsule,60,2000,68009,884.117,34.0045,"Hetero Unit III, India",No,32.76,10373.28,287.13,79,88,f,15.25,316.64
918,103-SO-T50,PQ-10315,SO-89669,ASN-34268,South Africa,Haiti Field Office,From RDC,EXW,Air,3/17/2015,3/27/2015,5/25/2015,5/23/2015,5/27/2015,ACT,Artemisinin-based,Scms From Rdc,ACT product - Artemisinin-based formulation,Molecule 1,Generic,120mg,Oral Solution,100,10000,306170,765.425,30.617,"Ranbaxy, Paonta Sahib, India",Yes,86,30903.13,2082.65,59,57,t,10.09,359.34
3079,103-SO-T72,PQ-14924,SO-55901,ASN-83260,South Africa,South Africa Field Office,From RDC,CIP,Air,8/25/2014,9/5/2014,10/14/2014,9/28/2014,9/28/2014,HRDT,HIV test,Novartis Pharma Ag,HRDT product - HIV test formulation,Molecule 11,Branded,90mg,Tablet,10,25000,256252.5,82.0008,10.2501,"Ranbaxy, Paonta Sahib, India",Yes,285.09,11672.16,1598.99,39,23,t,4.55,40.94
3375,103-VI-T30,PQ-99546,SO-84142,ASN-18454,Vietnam,PMO - US,Direct Drop,EXW,Air,3/8/2014,3/15/2014,4/22/2014,4/15/2014,4/18/2014,HRDT,HIV test,Scms From Rdc,HRDT product - HIV test formulation,Molecule 13,Generic,120mg,Tablet,10,5000,195338.5,976.6925,39.0677,"Cipla, Goa, India",Yes,99,19687.05,585.62,38,31,t,10.08,198.86
1853,104-CA-T54,PQ-45829,SO-18015,ASN-11373,Cameroon,PMO - US,Direct Drop,FOB,Air,9/3/2014,9/22/2014,10/24/2014,10/29/2014,11/1/2014,ARV,Adult,Sun Pharma,ARV product - Adult formulation,Molecule 3,Generic,60mg,Test kit,30,1000,19279.7,559.1113,19.2797,SCMS Global Warehouse,Yes,3.2,2971.75,31.67,32,37,f,15.41,928.67
1981,104-CO-T90,PQ-16310,SO-47248,ASN-82795,Cote D'Ivoire,South Africa Field Office,From RDC,CIP,Air,5/10/2015,5/28/2015,8/11/2015,8/4/2015,8/8/2015,ANTM,Antimalarial,Cipla Ltd,ANTM product - Antimalarial formulation,Molecule 17,Generic,60mg,Oral Solution,30,25000,438160,17.5264,17.5264,"Novartis, Suffern, US",Yes,297.65,57573.85,775.8,75,68,t,13.14,193.43
5827,104-KE-T91,PQ-82157,SO-46317,ASN-80215,Kenya,Haiti Field Office,From RDC,DDP,Air,5/13/2015,5/25/2015,7/25/2015,8/10/2015,8/14/2015,MRDT,Malaria test,Abc Pharm Ltd,MRDT product - Malaria test formulation,Molecule 17,Generic,90mg,Test kit,30,500,2170.2,91.1484,4.3404,"Cipla, Goa, India",No,5.53,353.66,6.38,61,77,f,16.3,63.95
1874,104-KE-T96,PQ-73974,SO-86132,ASN-68758,Kenya,PMO - US,Direct Drop,EXW,Ocean,11/13/2014,11/24/2014,1/7/2015,1/6/2015,1/8/2015,MRDT,Malaria test,Scms From Rdc,MRDT product - Malaria test formulation,Molecule 6,Generic,150mg,Capsule,1,2000,57445.2,746.7876,28.7226,"Hetero Unit III, India",Yes,4.08,2173.16,368.73,44,43,t,3.78,532.64
3711,104-MO-T21,PQ-38877,SO-18585,ASN-96157,Mozambique,South Africa Field Office,Direct Drop,EXW,Air,1/20/2016,2/7/2016,3/8/2016,3/21/2016,3/21/2016,ACT,Artemisinin-based,Zenith Pharmaceuticals,ACT product - Artemisinin-based formulation,Molecule 19,Generic,120mg,Tablet,10,1000,26714.1,614.4243,26.7141,"ABC Farmaceutica, Brazil",No,14.37,4568.27,163.63,30,43,f,17.1,317.9
1730,104-MO-T27,PQ-58164,SO-63301,ASN-52028,Mozambique,PMO - US,From RDC,CIP,Ocean,2/24/2015,3/10/2015,5/14/2015,5/6/2015,5/9/2015,ACT,Artemisinin-based,Zenith Pharmaceuticals,ACT product - Artemisinin-based formulation,Molecule 33,Branded,150mg,Tablet,30,50000,2079095,83.1638,41.5819,"Novartis, Suffern, US",Yes,691.34,177317.09,11681.25,65,57,t,8.53,256.48
352,104-MO-T85,PQ-27045,SO-50741,ASN-17887,Mozambique,Haiti Field Office,Direct Drop,CIP,Ocean,5/9/2014,5/20/2014,7/18/2014,8/14/2014,8/15/2014,ACT,Artemisinin-based,Scms From Rdc,ACT product - Artemisinin-based formulation,Molecule 18,Branded,150mg,Capsule,10,1000,37287.3,261.0111,37.2873,"Cipla, Goa, India",Yes,10.11,3810.49,117.92,59,86,f,10.22,376.9
3470,104-SO-T18,PQ-58701,SO-32630,ASN-68145,South Africa,Haiti Field Office,Direct Drop,FOB,Ocean,3/2/2016,3/18/2016,5/13/2016,5/8/2016,5/10/2016,ANTM,Antimalarial,Cipla Ltd,ANTM product - Antimalarial formulation,Molecule 39,Branded,150mg,Test kit,1,1000,39278.1,824.8401,39.2781,"Novartis, Suffern, US",Yes,12.72,904.79,370.47,56,51,t,2.3,71.13
1175,104-TA-T22,PQ-90604,SO-97745,ASN-97964,Tanzania,South Africa Field Office,Direct Drop,FCA,Air,12/12/2015,12/21/2015,1/21/2016,1/19/2016,1/19/2016,HRDT,HIV test,Scms From Rdc,HRDT product - HIV test formulation,Molecule 33,Generic,90mg,Oral Solution,30,10000,9044,16.2792,0.9044,"Novartis, Suffern, US",No,164.06,538.91,79.97,31,29,t,5.96,3.28
2563,104-TA-T63,PQ-52805,SO-27161,ASN-53850,Tanzania,PMO - US,From RDC,CIP,Air,6/2/2014,6/11/2014,9/6/2014,9/1/2014,9/5/2014,MRDT,Malaria test,Aurobindo Pharma Limited,MRDT product - Malaria test formulation,Molecule 6,Branded,120mg,Capsule,1,5000,202442.5,242.931,40.4885,"Novartis, Suffern, US",No,40.3,33800.55,445.75,87,82,t,16.7,838.72
4754,104-ZA-T73,PQ-83367,SO-37356,ASN-94251,Zambia,PMO - US,From RDC,FOB,Air,12/5/2015,12/15/2015,2/4/2016,1/21/2016,1/25/2016,ANTM,Antimalarial,Aurobindo Pharma Limited,ANTM product - Antimalarial formulation,Molecule 6,Branded,150mg,Tablet,10,10000,169268,220.0484,16.9268,"ABC Farmaceutica, Brazil",Yes,70.56,,708.59,51,37,t,,
3291,105-CA-T75,PQ-58096,SO-27551,ASN-40682,Cameroon,PMO - US,Direct Drop,EXW,Ocean,2/15/2014,2/21/2014,4/19/2014,3/25/2014,3/26/2014,ANTM,Antimalarial,Scms Global,ANTM product - Antimalarial formulation,Molecule 16,Branded,60mg,Capsule,1,2000,29202.6,277.4247,14.6013,"Mylan H-12, India",Yes,9.55,1804.54,66.34,57,32,t,6.18,188.96
5883,105-GU-T57,PQ-81439,SO-88316,ASN-38153,Guyana,Haiti Field Office,From RDC,FOB,Air,1/5/2014,1/21/2014,3/28/2014,4/20/2014,4/21/2014,ARV,Pediatric,Sun Pharma,ARV product - Pediatric formulation,Molecule 21,Branded,120mg,Capsule,60,5000,106616.5,341.1728,21.3233,"Ranbaxy, Paonta Sahib, India",Yes,10.56,,1006.37,66,89,f,,
2738,105-HA-T84,PQ-85934,SO-32184,ASN-27943,Haiti,South Africa Field Office,From RDC,FOB,Air,5/7/2016,5/18/2016,8/8/2016,8/5/2016,8/5/2016,HRDT,HIV test,Novartis Pharma Ag,HRDT product - HIV test formulation,Molecule 25,Branded,30mg,Test kit,100,10000,393735,511.8555,39.3735,"Cipla, Goa, India",No,61.44,32949.67,3708.61,82,79,t,8.37,536.29
2485,105-KE-T71,PQ-63979,SO-20452,ASN-29253,Kenya,PMO - US,From RDC,FOB,Ocean,3/10/2015,3/25/2015,6/2/2015,5/23/2015,5/23/2015,ACT,Artemisinin-based,Mylan Inc,ACT product - Artemisinin-based formulation,Molecule 20,Generic,120mg,Capsule,100,2000,11303.2,152.5932,5.6516,"Cipla, Goa, India",Yes,20.53,,87.93,69,59,t,,
2866,105-ZI-T50,PQ-61232,SO-17113,ASN-62830,Zimbabwe,PMO - US,From RDC,CIP,Air,12/26/2014,1/4/2015,1/30/2015,1/30/2015,2/3/2015,ACT,Artemisinin-based,Cipla Ltd,ACT product - Artemisinin-based formulation,Molecule 9,Generic,90mg,Test kit,100,500,21191.6,42.3832,42.3832,"ABC Farmaceutica, Brazil",Yes,8.84,2529.98,209.81,26,26,t,11.94,286.2
3319,106-CA-T19,PQ-68445,SO-62114,ASN-81997,Cameroon,PMO - US,From RDC,CIP,Air,2/21/2016,3/3/2016,5/28/2016,5/16/2016,5/20/2016,HRDT,HIV test,Zenith Pharmaceuticals,HRDT product - HIV test formulation,Molecule 30,Branded,90mg,Test kit,30,25000,175960,91.4992,7.0384,"Cipla, Goa, India",Yes,474.69,27976.14,752.99,86,74,t,15.9,58.94
4969,106-ET-T76,PQ-40961,SO-76544,ASN-63351,Ethiopia,South Africa Field Office,Direct Drop,FCA,Air,12/22/2014,1/3/2015,2/11/2015,2/11/2015,2/12/2015,MRDT,Malaria test,Scms Global,MRDT product - Malaria test formulation,Molecule 37,Branded,120mg,Oral Solution,10,50000,90195,16.2351,1.8039,SCMS Global Warehouse,Yes,621.28,13824.38,591.26,39,39,t,15.33,22.25
1635,106-GU-T16,PQ-63881,SO-90499,ASN-29475,Guyana,PMO - US,Direct Drop,DDP,Air,12/11/2015,12/28/2015,3/2/2016,2/18/2016,2/22/2016,ANTM,Antimalarial,Scms Global,ANTM product - Antimalarial formulation,Molecule 33,Generic,150mg,Oral Solution,60,25000,236015,94.406,9.4406,"Mylan H-12, India",Yes,238.34,35969.91,688.08,65,52,t,15.24,150.92
4935,106-GU-T71,PQ-40716,SO-45177,ASN-48334,Guyana,Haiti Field Office,Direct Drop,CIP,Air,2/8/2014,2/16/2014,4/30/2014,4/22/2014,4/22/2014,HRDT,HIV test,Bristol Myers Squibb,HRDT product - HIV test formulation,Molecule 21,Generic,90mg,Test kit,10,2000,72701.4,581.6112,36.3507,"Mylan H-12, India",Yes,38.84,6567.22,608.95,73,65,t,9.03,169.08
4993,106-HA-T28,PQ-56410,SO-63929,ASN-65759,Haiti,South Africa Field Office,From RDC,CIP,Air,8/19/2015,8/31/2015,10/9/2015,10/17/2015,10/17/2015,ANTM,Antimalarial,Sun Pharma,ANTM product - Antimalarial formulation,Molecule 2,Branded,120mg,Test kit,30,2000,34452.2,344.522,17.2261,"Cipla, Goa, India",Yes,29.84,3845.82,168.2,39,47,f,11.16,128.88
3209,106-ZA-T88,PQ-17954,SO-74373,ASN-57288,Zambia,PMO - US,Direct Drop,EXW,Ocean,10/26/2015,11/1/2015,1/11/2016,1/15/2016,1/17/2016,ANTM,Antimalarial,Ranbaxy Fine Chemicals,ANTM product - Antimalarial formulation,Molecule 24,Branded,90mg,Test kit,30,50000,2141450,85.658,42.829,"Cipla, Goa, India",No,250.86,333892.52,2665.84,71,75,f,15.59,1330.99
999,107-KE-T28,PQ-29359,SO-22914,ASN-43748,Kenya,PMO - US,Direct Drop,EXW,Air Charter,1/20/2014,2/2/2014,3/25/2014,3/25/2014,3/25/2014,ACT,Artemisinin-based,Aurobindo Pharma Limited,ACT product - Artemisinin-based formulation,Molecule 33,Generic,120mg,Oral Solution,30,25000,182620,168.0104,7.3048,"Ranbaxy, Paonta Sahib, India",No,160.96,29777.21,480.59,51,51,t,16.31,185
2385,107-SO-T97,PQ-88107,SO-85244,ASN-16466,South Africa,PMO - US,Direct Drop,EXW,Air,12/12/2015,12/18/2015,3/16/2016,3/27/2016,3/31/2016,ACT,Artemisinin-based,Scms From Rdc,ACT product - Artemisinin-based formulation,Molecule 16,Generic,150mg,Tablet,1,1000,35066.6,140.2664,35.0666,SCMS Global Warehouse,Yes,12.15,3458.95,182.58,89,100,f,9.86,284.69
1603,107-ZA-T94,PQ-63349,SO-16917,ASN-83193,Zambia,PMO - US,Direct Drop,CIP,Air,11/15/2014,11/21/2014,12/23/2014,12/25/2014,12/27/2014,HRDT,HIV test,Aurobindo Pharma Limited,HRDT product - HIV test formulation,Molecule 36,Branded,30mg,Capsule,10,500,16419.2,820.96,32.8384,"Novartis, Suffern, US",Yes,9.28,393.37,32,32,34,f,2.4,42.39
934,107-ZI-T97,PQ-49007,SO-57711,ASN-78865,Zimbabwe,South Africa Field Office,From RDC,DDP,Air,6/29/2014,7/4/2014,8/22/2014,,,MRDT,Malaria test,Bristol Myers Squibb,MRDT product - Malaria test formulation,Molecule 38,Generic,60mg,Test kit,1,2000,47018.4,399.6564,23.5092,"Aurobindo Unit III, India",No,20.93,6303.02,304.66,49,,,13.41,301.15
1307,108-GU-T10,PQ-89236,SO-44630,ASN-14711,Guyana,South Africa Field Office,From RDC,FOB,Ocean,7/9/2015,7/21/2015,8/13/2015,,,ARV,Adult,Ranbaxy Fine Chemicals,ARV product - Adult formulation,Molecule 12,Branded,90mg,Oral Solution,10,1000,43590.2,261.5412,43.5902,SCMS Global Warehouse,No,2.26,5901.26,343.02,23,,,13.54,2611.18
2285,108-RW-T23,PQ-54815,SO-46520,ASN-21357,Rwanda,PMO - US,Direct Drop,DDP,Ocean,12/29/2015,1/8/2016,2/13/2016,1/3/2016,1/4/2016,ANTM,Antimalarial,Abc Pharm Ltd,ANTM product - Antimalarial formulation,Molecule 32,Branded,90mg,Capsule,60,500,6455.3,64.553,12.9106,"Hetero Unit III, India",Yes,,991.77,63.87,36,-5,t,15.36,
1805,108-SO-T98,PQ-76648,SO-26733,ASN-99979,South Africa,South Africa Field Office,Direct Drop,CIP,Ocean,8/8/2015,8/22/2015,10/9/2015,10/11/2015,10/15/2015,ANTM,Antimalarial,Scms Global,ANTM product - Antimalarial formulation,Molecule 2,Generic,120mg,Oral Solution,60,10000,215154,43.0308,21.5154,"Aurobindo Unit III, India",Yes,38.78,,1860.29,48,50,f,,
2983,108-TA-T32,PQ-90960,SO-24672,ASN-42383,Tanzania,South Africa Field Office,From RDC,FCA,Truck,6/27/2015,7/15/2015,9/7/2015,9/2/2015,9/3/2015,ARV,Pediatric,Novartis Pharma Ag,ARV product - Pediatric formulation,Molecule 25,Generic,90mg,Oral Solution,30,25000,442992.5,265.7955,17.7197,"Cipla, Goa, India",Yes,301.63,11011.85,2943.5,54,49,t,2.49,36.51
5464,108-UG-T28,PQ-78661,SO-30594,ASN-76657,Uganda,PMO - US,Direct Drop,DDP,Air,9/23/2015,10/10/2015,11/5/2015,10/26/2015,10/27/2015,ACT,Artemisinin-based,Mylan Inc,ACT product - Artemisinin-based formulation,Molecule 20,Branded,150mg,Test kit,60,1000,28524.3,713.1075,28.5243,SCMS Global Warehouse,No,12.42,,152.29,26,16,t,,
5118,108-ZA-T52,PQ-41782,SO-54552,ASN-89330,Zambia,PMO - US,From RDC,FOB,Ocean,5/10/2016,5/19/2016,7/28/2016,7/24/2016,7/26/2016,ARV,Adult,Bristol Myers Squibb,ARV product - Adult formulation,Molecule 15,Generic,60mg,Capsule,100,500,17954.75,825.9185,35.9095,"Hetero Unit III, India",No,,2253.3,133.05,70,66,t,12.55,
3256,109-CO-T13,PQ-94164,SO-56763,ASN-70645,Cote D'Ivoire,Haiti Field Office,From RDC,DDP,Air Charter,2/18/2014,3/6/2014,5/28/2014,,,MRDT,Malaria test,Mylan Inc,MRDT product - Malaria test formulation,Molecule 11,Generic,150mg,Test kit,100,25000,897855,646.4556,35.9142,"Novartis, Suffern, US",Yes,163.54,114309.83,2982.71,83,,,12.73,698.97
2016,109-HA-T35,PQ-25183,SO-24879,ASN-22076,Haiti,Haiti Field Office,From RDC,DDP,Air,6/2/2016,6/13/2016,8/23/2016,8/9/2016,8/11/2016,ACT,Artemisinin-based,Bristol Myers Squibb,ACT product - Artemisinin-based formulation,Molecule 10,Branded,150mg,Capsule,30,25000,726647.5,784.7793,29.0659,"Ranbaxy, Paonta Sahib, India",No,433.83,100483.67,3266.87,71,57,t,13.83,231.62
1977,109-HA-T48,PQ-10040,SO-67642,ASN-76414,Haiti,Haiti Field Office,Direct Drop,DDP,Air,11/15/2015,11/22/2015,2/3/2016,1/31/2016,2/3/2016,ARV,Pediatric,Zenith Pharmaceuticals,ARV product - Pediatric formulation,Molecule 1,Branded,120mg,Oral Solution,10,5000,224990.5,764.9677,44.9981,"Ranbaxy, Paonta Sahib, India",Yes,99.25,5265.43,838.96,73,70,t,2.34,53.05
1121,109-NI-T64,PQ-69967,SO-30384,ASN-25353,Nigeria,PMO - US,Direct Drop,FOB,Ocean,3/31/2016,4/17/2016,5/9/2016,5/9/2016,5/11/2016,ARV,Adult,Zenith Pharmaceuticals,ARV product - Adult formulation,Molecule 15,Branded,60mg,Capsule,100,500,20397.2,203.972,40.7944,"Mylan H-12, India",Yes,8.63,1499.62,,22,22,t,7.35,173.77
585,109-SO-T22,PQ-64020,SO-93449,ASN-13531,South Africa,Haiti Field Office,Direct Drop,FOB,Ocean,11/21/2014,11/26/2014,2/8/2015,2/13/2015,2/13/2015,ACT,Artemisinin-based,Novartis Pharma Ag,ACT product - Artemisinin-based formulation,Molecule 38,Generic,90mg,Tablet,100,2000,45875.8,91.7516,22.9379,"Hetero Unit III, India",Yes,17.51,3190.61,168.55,74,79,f,6.95,182.22
4638,109-VI-T52,PQ-97256,SO-44944,ASN-14505,Vietnam,Haiti Field Office,From RDC,DDP,Ocean,10/4/2014,10/22/2014,1/10/2015,12/25/2014,12/26/2014,ACT,Artemisinin-based,Aurobindo Pharma Limited,ACT product - Artemisinin-based formulation,Molecule 28,Generic,90mg,Oral Solution,60,50000,19530,4.6872,0.3906,"Novartis, Suffern, US",Yes,73.34,1206.92,143.54,80,64,t,6.18,16.46
5570,109-ZI-T14,PQ-33645,SO-40779,ASN-11262,Zimbabwe,PMO - US,Direct Drop,DDP,Air Charter,12/11/2014,12/23/2014,1/21/2015,1/12/2015,1/14/2015,HRDT,HIV test,Bristol Myers Squibb,HRDT product - HIV test formulation,Molecule 37,Generic,120mg,Capsule,10,10000,273786,383.3004,27.3786,"Novartis, Suffern, US",Yes,147.93,9047.37,2675.24,29,20,t,3.3,61.16
4076,109-ZI-T56,PQ-75658,SO-55088,ASN-46253,Zimbabwe,South Africa Field Office,Direct Drop,FOB,Ocean,6/9/2015,6/19/2015,9/11/2015,9/17/2015,9/17/2015,ANTM,Antimalarial,Abc Pharm Ltd,ANTM product - Antimalarial formulation,Molecule 33,Branded,60mg,Oral Solution,60,25000,42385,18.6494,1.6954,"Aurobindo Unit III, India",No,302.72,3233.52,132.5,84,90,f,7.63,10.68
666,110-ET-T21,PQ-36221,SO-74388,ASN-83269,Ethiopia,Haiti Field Office,From RDC,FCA,Air,8/10/2015,8/15/2015,10/28/2015,11/8/2015,11/8/2015,MRDT,Malaria test,Mylan Inc,MRDT product - Malaria test formulation,Molecule 30,Branded,30mg,Oral Solution,10,25000,994655,676.3654,39.7862,"Hetero Unit III, India",Yes,55.4,41573.04,2615.67,74,85,f,4.18,750.42
1407,110-ET-T67,PQ-25783,SO-41107,ASN-24789,Ethiopia,South Africa Field Office,Direct Drop,FCA,Air,11/24/2014,12/9/2014,2/1/2015,2/4/2015,2/6/2015,HRDT,HIV test,Zenith Pharmaceuticals,HRDT product - HIV test formulation,Molecule 25,Branded,30mg,Test kit,30,25000,549605,241.8262,21.9842,"ABC Farmaceutica, Brazil",No,77.31,71035.21,2560.78,54,57,f,12.92,918.84
3220,110-HA-T13,PQ-70425,SO-45723,ASN-54122,Haiti,PMO - US,From RDC,FOB,Air,12/13/2015,12/24/2015,1/15/2016,1/19/2016,1/22/2016,ANTM,Antimalarial,Scms Global,ANTM product - Antimalarial formulation,Molecule 24,Branded,60mg,Capsule,10,2000,58257.6,728.22,29.1288,"Aurobindo Unit III, India",Yes,19.65,8113.77,124.43,22,26,f,13.93,412.91
2884,110-ZA-T95,PQ-93847,SO-53141,ASN-15730,Zambia,South Africa Field Office,From RDC,FCA,Air,6/3/2015,6/20/2015,8/5/2015,8/3/2015,8/4/2015,ACT,Artemisinin-based,Zenith Pharmaceuticals,ACT product - Artemisinin-based formulation,Molecule 21,Generic,150mg,Tablet,60,500,19019.05,76.0762,38.0381,"Mylan H-12, India",Yes,6.3,915.85,142.48,46,44,t,4.82,145.37
